date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2018-01-01,47500.0,5894078.88780266,2668,48354.87775494,48289.0,48949.08,49100.0,121.89212674
2018-01-02,47400.0,23503475.18525314,8889,50369.78431998,48650.00004,51002.99,51999.0,466.61853932
2018-01-03,51002.99,17707680.82626023,8300,52656.91128422,51600.0,53300.0,53999.0,336.28407733
2018-01-04,51000.0,19258940.94939073,7838,52203.43263983,53490.01,52799.0,53600.0,368.9209689
2018-01-05,52020.0001,29368206.92614684,12042,55015.01967089,52798.99999,56897.00001,57000.0,533.82162002
2018-01-06,54500.0,13349402.00787829,5709,55892.39810816,56900.0,56001.1,57000.0,238.8411029
2018-01-07,54501.0,9150656.99470586,4721,55439.45753555,56005.0,54510.00055,56690.0,165.05675563
2018-01-08,50011.0,24502490.91861791,10232,52114.74154799,55095.0,52361.97987,55500.0,470.16429883
2018-01-09,48511.99,17375640.35346735,8921,50402.54558618,52361.97986,48850.0,52899.99,344.73735704
2018-01-10,47000.0,17857390.04450076,9238,48784.51087341,48850.0,49501.999,50777.0,366.04630701
2018-01-11,40001.0,26747112.66237423,13970,45660.95088048,49700.0,43698.0,49700.0,585.77651465
2018-01-12,43344.0,12914286.17007475,9920,45600.92763786,43698.00001,46499.99999,47679.0,283.20226888
2018-01-13,46199.0,5218239.37120669,3949,47045.3604478,46888.99996,46611.02,47450.0,110.9193196
2018-01-14,45100.0,4222084.15701214,3682,45917.18348204,46888.0,46010.0,46975.0,91.94998118
2018-01-15,44500.0,10627245.77539688,6058,46419.24868795,46010.0,45600.0,47450.25,228.94049507
2018-01-16,32301.23,44415098.83895735,18406,38949.11471557,45600.0,38979.0,45999.0,1140.33654329
2018-01-17,32000.09,31517805.83175857,14477,35433.5967363,38502.05001,38197.3,39900.0,889.48931903
2018-01-18,36489.99975,21498540.31114423,9920,39963.21343431,38197.3,38980.0,41890.0,537.95824869
2018-01-19,38250.0,11986415.55138576,5709,39423.72951561,39100.0,39899.0,40800.0,304.04062981
2018-01-20,39309.00001,7426041.59994531,4609,41279.45965675,39889.99994,41000.0,42000.0,179.8967734
2018-01-21,38250.0,8999348.79971759,4289,39587.41471204,40949.99998,38475.0,41830.0,227.32853017
2018-01-22,34200.0,15211027.58715351,7590,36659.53867688,38899.97,36988.98999,39589.98,414.92686859
2018-01-23,33600.0,11332635.15900084,6326,35921.40746191,36889.99,35600.0,37960.0,315.48416278
2018-01-24,35018.0,6197218.92805666,3882,36804.24614615,35550.0,36800.0009,37790.0,168.38325946
2018-01-25,36400.0,4941989.92754711,2946,36852.74696331,37104.99999,36996.96,37570.0,134.10099205
2018-01-26,35280.0,7125084.68988956,3944,35865.81442751,36820.00006,35800.0,37200.0,198.65949801
2018-01-27,35599.99999,2559920.80418659,1929,36306.41158622,35801.0,36300.0,37050.0,70.50878047
2018-01-28,36300.0,4423524.85820938,2569,37246.68945003,36300.00003,36500.00004,38090.0,118.7629001
2017-01-01,3424.24001,264841.20711984,319,3524.76662875,3435.0064,3551.00031,3615.0,75.13723177
2017-01-02,3551.00031,624214.82164196,986,3666.80847477,3551.00031,3619.0,3797.99999,170.23382212
2017-01-03,3564.54618,660226.59092858,903,3637.3514541,3619.0,3679.98882,3698.0,181.51300452
2017-01-04,3586.29724,940716.6949968,1392,3854.31046395,3679.98879,4000.0,4094.99897,244.06873909
2017-01-05,3600.0,1273071.39391004,1823,3797.35454428,4047.80164,3825.99978,4047.80164,335.25218124
2017-01-06,3200.0,1014136.20604806,1614,3499.96714788,3826.00012,3469.88937,3899.99875,289.75592147
2017-01-07,3260.33301,453111.4693488,683,3375.37900586,3425.0,3333.0,3549.0,134.24017527
2017-01-08,3332.3,304710.6179229,466,3422.72485764,3333.75566,3353.0,3494.0,89.02574136
2017-01-09,3330.0,515805.16521687,946,3395.93564399,3384.99995,3386.00079,3450.0,151.88896943
2017-01-10,3250.0,552624.08746928,1051,3340.71002984,3385.0,3260.0,3437.2,165.42114776
2017-01-11,2500.00001,1248988.3014507,1593,2925.24675553,3295.99,2718.99997,3342.82,426.96852807
2017-01-12,2636.00039,955836.67812875,1294,2915.7230535,2719.0,2979.99,3200.0,327.82149079
2017-01-13,2800.0,425640.71577395,850,2900.87549159,2979.0,2977.76891,3045.999,146.72836425
2017-01-14,2871.02,198197.58555265,387,2914.762556,2923.82006,2887.0,2997.99998,67.99784948
2017-01-15,2881.0,55342.73432379,238,2908.17015991,2887.00001,2924.99999,2938.968,19.03008809
2017-01-16,2894.56017,346885.141072,838,2932.55038663,2894.56017,2943.98996,2990.0,118.28787074
2017-01-17,2910.0,745916.29253582,1205,3039.90693881,2940.0,3087.99984,3139.952,245.37471296
2017-01-18,2903.0,747832.01018194,1086,2973.53056786,3043.0001,2920.0,3079.99972,251.49632503
2017-01-19,2900.0203,490172.16277891,858,2935.20851462,2928.0,2947.99963,2984.99998,166.99739059
2017-01-20,2881.36016,455864.59190577,879,2928.15835725,2947.99963,2959.99999,2969.99687,155.68303906
2017-01-21,2915.01,613677.80268581,456,2979.5696877,2945.03,2999.99997,3010.0,205.96188947
2017-01-22,2950.0,206376.60378037,212,2983.32088468,2999.99997,2992.99908,3010.0,69.17680389
2017-01-23,2890.00127,488235.40281642,889,2945.75505323,2960.87018,2918.99958,3000.0,165.74202335
2017-01-24,2850.0001,472330.49543768,798,2933.94093158,2891.00005,2909.95974,3000.0,160.98841335
2017-01-25,2806.10294,464781.84545826,702,2856.9285837,2909.90992,2904.99921,2909.90999,162.68584665
2017-01-26,2856.00101,480315.01975671,607,2901.72207286,2904.99964,2886.01074,2933.0,165.52757559
2017-01-27,2879.0,582123.0832934,720,2921.66741582,2910.0,2924.00005,2999.99,199.24344576
2017-01-28,2898.2,269311.36878721,265,2908.31280638,2949.579,2910.0,2949.636,92.60055115
2017-01-29,2880.001,113645.45795147,152,2899.53889229,2925.0,2881.1,2927.0,39.19432095
2017-01-30,2851.36015,460048.9724903,657,2880.50906309,2900.0,2894.99999,2927.0,159.71099636
2017-01-31,2862.20003,646747.1249474,930,2923.72861775,2890.0,2960.0,2960.0,221.20627784
2017-02-01,2903.20029,804756.45758828,975,2959.44385225,2960.0,2982.99999,3000.0,271.92827361
2017-02-02,2954.4357,424226.86555024,824,2993.42591254,2983.0,3054.009,3055.55,141.71951401
2017-02-03,2900.0,625505.73378827,1234,3007.09504235,3053.009,3050.00461,3080.0,208.00996476
2017-02-04,3022.00002,164116.62815198,388,3045.63297048,3046.6,3030.00001,3090.00604,53.88588505
2017-02-05,2980.00017,116820.31678359,315,3015.3980975,3030.0,3000.0,3059.0,38.74125837
2017-02-06,2970.0,411108.97867104,1000,3015.61240888,3000.0,3011.01015,3049.0,136.32686265
2017-02-07,2988.00001,634856.85916841,1403,3042.9981345,3011.01015,3076.09999,3100.0,208.62873755
2017-02-08,3000.0,748854.8431137,1443,3102.17741542,3099.99999,3232.0,3250.0,241.39652342
2017-02-09,2900.0,1049082.78326231,1513,3042.50294076,3190.0,3067.0,3237.23387,344.80912712
2017-02-10,2950.0,642077.89516173,1184,3055.36994281,3035.74569,3114.68883,3245.0,210.14734948
2017-02-11,3090.09494,252647.96127097,489,3145.8789014,3101.0,3178.0,3199.11519,80.31077139
2017-02-12,3101.63001,184334.65415134,407,3133.37830041,3141.0532,3113.04273,3180.0,58.8293645
2017-02-13,3090.001,675915.20849859,1201,3143.78844863,3114.17603,3114.89188,3249.999,215.00022013
2017-02-14,3102.00001,697441.97268857,1208,3154.8867524,3148.03112,3180.37719,3235.0,221.06719747
2017-02-15,3111.00001,512940.3622448,978,3140.21734114,3155.33143,3149.56271,3184.25207,163.34549699
2017-02-16,3124.0,357991.52504109,851,3163.23161587,3149.74593,3160.00001,3196.1,113.17271971
2017-02-17,3151.01,399660.24899179,976,3224.28627683,3188.37399,3267.04,3300.0,123.9530906
2017-02-18,3185.28423,261275.33721077,453,3270.4155328,3267.04,3270.59,3300.0,79.89056271
2017-02-19,3268.2,60357.52998105,268,3287.10627447,3268.4,3275.80001,3300.0,18.36190404
2017-02-20,3275.0,701356.25798929,912,3299.67660384,3292.35,3329.9,3332.99999,212.55302934
2017-02-21,3304.2474,721517.77846043,1178,3382.95441327,3326.99,3496.99936,3500.0,213.28037281
2017-02-22,3377.11022,1080712.73750731,1463,3520.69187402,3495.99942,3548.0,3700.0,306.96032944
2017-02-23,3491.0001,687977.33747142,1123,3600.49658026,3525.0,3630.00002,3700.0,191.0784588
2017-02-24,3581.0,1371886.35380258,1697,3720.20616648,3630.33675,3697.0,4000.0,368.76621682
2017-02-25,3660.00043,378522.1044037,478,3701.85417053,3739.45941,3721.55933,3750.0,102.25203019
2017-02-26,3670.0,185056.48419278,342,3685.06196612,3672.0,3730.0,3730.0,50.2180115
2017-02-27,3690.00007,336013.7000291,467,3750.77110873,3730.0,3757.0,3790.0,89.58523202
2017-02-28,3736.0,156587.25534455,231,3751.11787607,3779.9999,3745.0,3790.0,41.74415748
2017-03-01,3729.0,855808.07322939,869,3805.79138494,3740.0,3795.0,3854.0,224.86993812
2017-03-02,3760.00001,716778.49581364,1199,3867.92212321,3795.0,3951.0,3989.0,185.31358
2017-03-03,3861.01015,744187.77373119,1128,3943.40704275,3951.0,3984.93994,3990.0,188.71695609
2017-03-04,3880.0,315498.14195819,540,3927.40661156,3951.02134,3937.16901,3984.98,80.33243643
