date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2018-01-01,783.0,2623164.80406336,1905,819.93943834,786.0,849.0,850.0,3199.21774878
2018-01-02,840.0,13020882.65029899,7812,908.74148724,849.0,907.5,970.01,14328.47826709
2018-01-03,875.0,8642368.29323159,5311,896.87091994,907.0,883.567,955.0,9636.13391969
2018-01-04,824.01,7768440.66322852,5265,848.19868254,880.0,835.0,886.0,9158.75115484
2018-01-05,829.99999,5144293.03702305,4401,844.45259977,835.00001,847.99,858.98,6091.86713196
2018-01-06,842.00001,13732143.12436013,8236,931.62592645,847.99,937.7,977.0,14739.97527812
2018-01-07,901.99,3379502.15890161,2836,921.11059634,937.7,912.5,945.0,3668.94287433
2018-01-08,850.0,6501321.37829441,4492,876.90332916,912.0,877.98989,915.0,7413.95449432
2018-01-09,830.0,4134054.5674334,3803,854.17604269,876.99999,839.48999,885.0,4839.81563616
2018-01-10,799.0,6432090.78836549,4905,820.3761805,839.48999,837.88,849.0,7840.41631298
2018-01-11,720.0,7914703.14017966,5312,772.87058204,837.88,750.0,839.89,10240.6577816
2018-01-12,730.1,3784527.02692896,3449,768.3641696,759.0,774.00005,800.0,4925.4340281
2018-01-13,765.0,3596056.21977758,3332,817.35367477,774.99,848.99,859.9,4399.63302395
2018-01-14,789.0,2186655.62919295,2390,807.51149238,848.98001,812.0,855.0,2707.89412884
2018-01-15,771.14,2398719.27127689,2536,799.01490583,805.11,773.0,818.0,3002.0957729
2018-01-16,500.0,11950301.64978585,9305,650.25183235,773.0,646.0,790.0,18377.95920781
2018-01-17,400.0,12865951.59119301,9376,564.70452533,638.00001,627.0,698.9,22783.5106928
2018-01-18,600.0,7050027.35005872,5587,676.12598674,627.0,675.07111,755.0,10427.0912349
2018-01-19,648.99989,2782498.74857194,2752,670.51693262,676.05,664.99776,705.0101,4149.78147932
2018-01-20,656.34,2675711.6065517,2208,678.39903897,665.0,657.0,694.0,3944.15595079
